,key,nodes,edges,loss
0,pruning_vertices_auto/gt/0.005,5,201,0.015127042634412646
1,pruning_vertices_auto/gt/0.001,23,1426,0.006424798700027168
2,pruning_vertices_auto/gt/0.01,4,72,0.024319860525429247
3,pruning_vertices_auto/gt/0.002,12,602,0.00878063216805458
4,pruning_edges_auto/gt_edges/0.0002,11,133,0.015115573117509485
5,pruning_edges_auto/gt_edges/0.0003,11,107,0.01715462622232735
6,pruning_edges_auto/gt_edges/0.0001,34,269,0.01317641818895936
7,pruning_edges_auto/gt_edges/7e-05,67,474,0.01225202064961195
8,pruning_edges_auto/gt_vertex_prior/0.00015-0.002-0.3,23,251,0.010210002539679408
9,pruning_edges_auto/gt_vertex_prior/2e-05-0.002-0.3,78,626,0.009581963066011667
10,pruning_edges_auto/gt_vertex_prior/5e-05-0.002-0.3,64,469,0.00988453314639628
11,pruning_edges_auto/gt_vertex_prior/7e-05-0.002-0.3,63,471,0.010046693636104465
12,pruning_edges_auto/gt_vertex_prior/0.0001-0.002-0.3,40,376,0.00975844538770616
13,pruning_edges_auto/gt_edges_unif/0.0002,16,204,0.01166560803540051
14,pruning_edges_auto/gt_edges_unif/0.0003,12,134,0.013939606864005328
15,pruning_edges_auto/gt_edges_unif/0.0001,26,307,0.011550191976130008
16,pruning_edges_auto/gt_edges_unif/7e-05,41,412,0.00912329819984734
17,pruning_edges_auto/gt_edges_unif/0.00015,26,274,0.010214664787054063
18,pruning_edges_auto/gt_edges_unif/5e-05,40,475,0.008939814008772373
19,acdc_gt_runs/0.0002,30,298,0.01654869713820517
20,acdc_gt_runs/0.0001,46,478,0.014669784530997276
21,acdc_gt_runs/manual,9,235,0.02195433620363474
22,acdc_gt_runs/0.001,15,140,0.022571553103625776
23,acdc_gt_runs/0.01,10,61,0.037295035645365716
24,acdc_gt_runs/0.00015,42,386,0.016875330731272696
25,acdc_gt_runs/0.0005,20,186,0.018103717267513274
26,acdc_gt_runs/5e-05,67,771,0.01246995567344129
27,eap_gt_runs/0.005,13,87,0.03972550481557846
28,eap_gt_runs/0.0014,57,448,0.016375563526526093
29,eap_gt_runs/0.004,16,123,0.03847243469208479
30,eap_gt_runs/0.001,73,714,0.014726911438629031
31,eap_gt_runs/0.002,43,319,0.020774425007402897
32,eap_gt_runs/0.003,24,159,0.03323461832478643
